#   l     n     Frequency (muHz)           Error (muHz)
    0    12        1390.80818859        0.8633433785000
    0    13        1495.05302937        0.2352850336870
    0    14        1598.68962055        0.0720618901275
    0    15        1700.95243323        0.1014110458390
    0    16        1802.35128017        0.0794675195876
    0    17        1904.52077374        0.0583487048825
    0    18        2007.53798010        0.0445692583862
    0    19        2110.94954597        0.0407199203066
    0    20        2214.22506316        0.0537751945651
    0    21        2317.28210729        0.0569411856738
    0    22        2420.93720443        0.0799571368600
    0    23        2524.94962077        0.1558297912540
    0    24        2628.92965688        0.2591146571520
    0    25        2733.57075288        0.4200285141920
    0    26        2840.14780305        0.9436774639190
    0    27        2944.93721665        0.7919337764050
    1    11        1334.28530945        1.0064330163800
    1    12        1437.38529836        0.4474204472780
    1    13        1542.05982978        0.1401714664810
    1    14        1645.13947200        0.1088585250510
    1    15        1747.19868228        0.0848920204053
    1    16        1849.00886124        0.0556096542426
    1    17        1952.00824484        0.0503908592746
    1    18        2055.49320744        0.0472804914998
    1    19        2159.14877541        0.0494573640208
    1    20        2262.56252349        0.0509946731215
    1    21        2366.24466426        0.0596394964582
    1    22        2470.22662466        0.0909626771702
    1    23        2574.66041144        0.1210854598210
    1    24        2679.72574867        0.2007303897850
    1    25        2783.81583474        0.3354027364330
    1    26        2890.19760450        0.6921206340100
    1    27        2994.83963647        1.0126047745100
    2    12        1487.83144240        0.7068499420650
    2    13        1590.36630376        0.3866634787490
    2    14        1693.93679038        0.1859607940900
    2    15        1795.84331391        0.1307265717570
    2    16        1898.39891315        0.0978307904853
    2    17        2001.58790927        0.0815081444474
    2    18        2105.37354776        0.0558153334323
    2    19        2208.92783634        0.0717291103363
    2    20        2312.50466457        0.0785928264579
    2    21        2416.24891009        0.1225731972680
    2    22        2520.73413189        0.1994165810010
    2    23        2624.63604946        0.3618486123480
    2    24        2730.02356348        0.7564007499650
    2    25        2836.08826477        0.7979727280650
    2    26        2940.39275845        1.1028108660300
#    3    17        2045.85069541        0.3681837397410
#    3    18        2150.05661231        0.2040128059920
#    3    19        2253.79553858        0.2502121752980
#    3    20        2357.49675501        0.2267311657520
#    3    21        2461.45180311        0.3581818287770
